,id,LATITUDE,LONGITUDE,region,Cluster
41,36,-23.9539542,-46.3516147,BAIXADA,0
65,58,-23.9603736,-46.3263723,BAIXADA,5
67,59,-23.8446222,-46.1370836,BAIXADA,97
73,65,-23.9435393,-46.3299892,BAIXADA,4
89,78,-23.9725316,-46.3133415,BAIXADA,3
107,96,-23.921507,-46.4330463,BAIXADA,0
108,97,-23.921507,-46.4330463,BAIXADA,0
109,98,-23.921507,-46.4330463,BAIXADA,0
110,99,-23.921507,-46.4330463,BAIXADA,0
111,100,-23.921507,-46.4330463,BAIXADA,0
117,106,-23.9687159,-46.3370113,BAIXADA,4
125,114,-23.9687159,-46.3370113,BAIXADA,4
132,120,-23.9687159,-46.3370113,BAIXADA,4
204,186,-23.9687159,-46.3370113,BAIXADA,4
207,189,-23.9687159,-46.3370113,BAIXADA,4
219,200,-23.9687159,-46.3370113,BAIXADA,4
267,246,-23.9687159,-46.3370113,BAIXADA,4
280,257,-23.9668254,-46.3390399,BAIXADA,4
290,266,-23.9490504,-46.323694,BAIXADA,4
312,287,-23.9687159,-46.3370113,BAIXADA,4
336,309,-23.9511912,-46.3371376,BAIXADA,4
349,320,-23.9687159,-46.3370113,BAIXADA,4
372,342,-23.9458108,-46.3217285,BAIXADA,5
382,349,-23.9687159,-46.3370113,BAIXADA,4
384,351,-23.9687159,-46.3370113,BAIXADA,4
385,352,-23.9687159,-46.3370113,BAIXADA,4
427,388,-23.9745388,-46.3126434,BAIXADA,3
433,394,-23.9900338,-46.2998357,BAIXADA,1
516,472,-23.9865147,-46.2951901,BAIXADA,1
531,485,-23.965376,-46.3523251,BAIXADA,4
541,495,-20.8114649,-49.3969489,BAIXADA,98
553,507,-23.9887499,-46.3024407,BAIXADA,1
559,512,-23.9726429,-46.3238221,BAIXADA,2
611,560,-23.9804994,-46.3124029,BAIXADA,3
614,563,-23.9622592,-46.3184472,BAIXADA,5
623,571,-23.9760866,-46.3139825,BAIXADA,3
669,613,-23.9692817,-46.3745239,BAIXADA,0
672,616,-23.9688523,-46.3781852,BAIXADA,0
674,617,-23.9496409,-46.3283073,BAIXADA,4
703,642,-23.9796665,-46.3054003,BAIXADA,1
704,643,-23.9687159,-46.3370113,BAIXADA,4
731,667,-23.970231300000002,-46.386540976556006,BAIXADA,0
739,675,-23.9358834,-46.3254873,BAIXADA,4
744,679,-23.9687159,-46.3370113,BAIXADA,4
745,680,-23.9412612,-46.3706074,BAIXADA,0
759,694,-23.9687159,-46.3370113,BAIXADA,4
823,753,-23.9680905,-46.332094,BAIXADA,5
847,776,-23.9692817,-46.3745239,BAIXADA,0
849,778,-23.9699766,-46.3126277,BAIXADA,3
868,796,-23.9726429,-46.3238221,BAIXADA,2
875,803,-23.9435393,-46.3299892,BAIXADA,4
914,842,-23.9680905,-46.332094,BAIXADA,5
958,885,-23.986141,-46.3043603,BAIXADA,1
992,916,-23.953376,-46.3712711,BAIXADA,0
1026,948,-23.9613876,-46.3475028,BAIXADA,4
1104,1022,-23.9726429,-46.3238221,BAIXADA,2
1106,1024,-23.9603736,-46.3263723,BAIXADA,5
1118,1036,-23.9480281,-46.3328541,BAIXADA,4
1210,1120,-23.9804994,-46.3124029,BAIXADA,3
1254,1160,-23.9687159,-46.3370113,BAIXADA,4
1277,1181,-23.9668254,-46.3390399,BAIXADA,4
1278,1182,-23.9670407,-46.3137603,BAIXADA,5
1326,1226,-23.9578978,-46.3413367,BAIXADA,4
1355,1250,-23.9668254,-46.3390399,BAIXADA,4
1385,1278,-23.9670872,-46.3560522,BAIXADA,0
1442,1333,-23.9509754,-46.3247349,BAIXADA,4
1470,1360,-23.9687159,-46.3370113,BAIXADA,4
1603,1487,-23.9553011,-46.2980792,BAIXADA,1
1646,1529,-23.9752597,-46.3169301,BAIXADA,3
1647,1530,-24.003076,-46.419423,BAIXADA,0
1654,1537,-23.9846622,-46.3086377,BAIXADA,1
1671,1554,-23.959255,-46.3379914,BAIXADA,4
1673,1556,-23.8446222,-46.1370836,BAIXADA,97
1691,1574,-23.9726429,-46.3238221,BAIXADA,2
1717,1597,-23.9660791,-46.3444595,BAIXADA,4
1736,1612,-23.9692817,-46.3745239,BAIXADA,0
1739,1615,-23.9690817,-46.3270424,BAIXADA,5
1741,1617,-23.9726429,-46.3238221,BAIXADA,2
1791,1663,-23.9605118,-46.3101921,BAIXADA,1
1804,1675,-23.9688523,-46.3781852,BAIXADA,0
1811,1682,-23.944481,-46.3724176,BAIXADA,0
1831,1702,-23.959255,-46.3379914,BAIXADA,4
1980,1837,-23.9706821,-46.3291961,BAIXADA,5
2052,1905,-23.9726429,-46.3238221,BAIXADA,2
2053,1906,-23.9856301,-46.2952504,BAIXADA,1
2090,1938,-23.967216,-46.3547362,BAIXADA,0
2108,1955,-23.967216,-46.3547362,BAIXADA,0
2150,1995,-23.9752597,-46.3169301,BAIXADA,3
2187,2030,-23.9760866,-46.3139825,BAIXADA,3
2201,2043,-23.9850863,-46.2965818,BAIXADA,1
2202,2044,-23.987072,-46.2948858,BAIXADA,1
2221,2063,-23.9856301,-46.2952504,BAIXADA,1
2238,2079,-23.9687159,-46.3370113,BAIXADA,4
2243,2084,-23.9511912,-46.3371376,BAIXADA,4
2257,2095,-23.9687159,-46.3370113,BAIXADA,4
2286,2122,-23.987072,-46.2948858,BAIXADA,1
2346,2178,-23.987072,-46.2948858,BAIXADA,1
2347,2179,-23.987072,-46.2948858,BAIXADA,1
2354,2183,-23.9480281,-46.3328541,BAIXADA,4
2360,2189,-23.9687159,-46.3370113,BAIXADA,4
2395,2223,-23.987072,-46.2948858,BAIXADA,1
2405,2231,-23.9581223,-46.3391191,BAIXADA,4
2452,2271,-23.9448832,-46.3791232,BAIXADA,0
2511,2326,-23.9726429,-46.3238221,BAIXADA,2
2550,2363,-23.9668254,-46.3390399,BAIXADA,4
2576,2388,-23.9578978,-46.3413367,BAIXADA,4
2588,2400,-23.9578978,-46.3413367,BAIXADA,4
2648,2454,-23.9453894,-46.3277296,BAIXADA,4
2667,2472,-23.9399357,-46.3758356,BAIXADA,0
2679,2482,-23.9423041,-46.3745709,BAIXADA,0
2681,2484,-23.9393988,-46.3764151,BAIXADA,0
2685,2488,-23.9391366,-46.3713272,BAIXADA,0
2692,2494,-23.9690817,-46.3270424,BAIXADA,5
2727,2523,-23.9690817,-46.3270424,BAIXADA,5
2742,2537,-23.9662862,-46.348468,BAIXADA,4
2843,2631,-23.9532317,-46.3244641,BAIXADA,4
2891,2678,-23.970231300000002,-46.386540976556006,BAIXADA,0
2899,2684,-23.9453894,-46.3277296,BAIXADA,4
3047,2820,-23.9668254,-46.3390399,BAIXADA,4
3097,2861,-23.970231300000002,-46.386540976556006,BAIXADA,0
3132,2894,-23.8446222,-46.1370836,BAIXADA,97
3138,2899,-23.9706821,-46.3291961,BAIXADA,5
3192,2949,-23.8446222,-46.1370836,BAIXADA,97
3226,2981,-23.9731382,-46.3019376,BAIXADA,1
3345,3088,-23.9706821,-46.3291961,BAIXADA,5
3371,3113,-23.9610106,-46.341721,BAIXADA,4
3417,3155,-23.952561,-46.3359015,BAIXADA,4
3485,3213,-23.8446222,-46.1370836,BAIXADA,97
3488,3216,-23.9617849,-46.3380528,BAIXADA,4
3516,3242,-23.9742778,-46.3099626,BAIXADA,3
3590,3304,-23.9845525,-46.2998662,BAIXADA,1
3683,3395,-23.8446222,-46.1370836,BAIXADA,97
3700,3410,-23.9511912,-46.3371376,BAIXADA,4
3728,3436,-22.443141,-44.5309071,BAIXADA,99
3774,3480,-23.9440489,-46.3651621,BAIXADA,0
3784,3490,-23.8446222,-46.1370836,BAIXADA,97
3799,3505,-23.9393988,-46.3764151,BAIXADA,0
3829,3530,-23.9603736,-46.3263723,BAIXADA,5
3885,3578,-23.8446222,-46.1370836,BAIXADA,97
3888,3580,-23.9610059,-46.3248466,BAIXADA,5
3929,3612,-23.9694374,-46.3303229,BAIXADA,5
3938,3621,-23.9610059,-46.3248466,BAIXADA,5
3943,3625,-23.9760866,-46.3139825,BAIXADA,3
3954,3634,-23.9680392,-46.3032465,BAIXADA,1
3958,3637,-23.9760866,-46.3139825,BAIXADA,3
3978,3655,-23.9487263,-46.3815127,BAIXADA,0
3991,3667,-23.9687159,-46.3370113,BAIXADA,4
4014,3688,-23.8446222,-46.1370836,BAIXADA,97
4025,3697,-23.9760866,-46.3139825,BAIXADA,3
4032,3703,-23.8446222,-46.1370836,BAIXADA,97
4070,3735,-23.8446222,-46.1370836,BAIXADA,97
4123,3782,-23.9680392,-46.3032465,BAIXADA,1
4134,3793,-23.9726429,-46.3238221,BAIXADA,2
4156,3811,-23.9618542,-46.3391339,BAIXADA,4
4231,3882,-23.9865147,-46.2951901,BAIXADA,1
4234,3885,-23.9618924,-46.3321275,BAIXADA,4
4271,3920,-23.9656936,-46.3235729,BAIXADA,5
4279,3928,-23.9651911,-46.3409564,BAIXADA,4
4293,3942,-23.9845525,-46.2998662,BAIXADA,1
4294,3943,-23.9845525,-46.2998662,BAIXADA,1
4340,3985,-23.9845525,-46.2998662,BAIXADA,1
4346,3991,-23.9692817,-46.3745239,BAIXADA,0
4381,4025,-21.1990494,-50.4408688,BAIXADA,100
4382,4026,-23.9796665,-46.3054003,BAIXADA,1
4403,4043,-23.9855394,-46.2998416,BAIXADA,1
4406,4046,-23.9692817,-46.3745239,BAIXADA,0
4412,4051,-23.9670872,-46.3560522,BAIXADA,0
4424,4062,-23.9845525,-46.2998662,BAIXADA,1
4425,4063,-23.9845525,-46.2998662,BAIXADA,1
4454,4087,-23.9680392,-46.3032465,BAIXADA,1
4469,4101,-23.9845525,-46.2998662,BAIXADA,1
4524,4154,-23.9692817,-46.3745239,BAIXADA,0
4551,4179,-23.9690817,-46.3270424,BAIXADA,5
